,open,high,low,close,volume,value
2021-10-16 21:00:00,198150.0,199200.0,193700.0,194000.0,39245.13387044,7695694900.633701
2021-10-16 22:00:00,194000.0,196750.0,193900.0,195650.0,16984.36740965,3316369848.6230097
2021-10-16 23:00:00,195600.0,197000.0,194450.0,195100.0,11735.73594976,2293647626.052589
2021-10-17 00:00:00,195000.0,196350.0,194500.0,195200.0,6052.43286342,1182067461.685127
2021-10-17 01:00:00,195450.0,196100.0,194900.0,195800.0,4831.52540694,943860590.366959
2021-10-17 02:00:00,195800.0,196100.0,194450.0,195200.0,4126.59999449,804562579.042765
2021-10-17 03:00:00,194750.0,195300.0,194500.0,194850.0,2372.99125954,462627192.2403705
2021-10-17 04:00:00,195000.0,195000.0,194050.0,194250.0,3352.16469097,651878709.8989885
2021-10-17 05:00:00,194400.0,195400.0,194150.0,195000.0,1900.9656807,370065572.956262
2021-10-17 06:00:00,195000.0,195200.0,193100.0,193250.0,10263.09596462,1991296932.578823
2021-10-17 07:00:00,193250.0,194600.0,192700.0,194250.0,11246.93765048,2174866166.0759177
2021-10-17 08:00:00,194250.0,194500.0,193200.0,193450.0,8778.55883543,1702136554.6788495
2021-10-17 09:00:00,193400.0,196950.0,192700.0,195500.0,46877.78180061,9123821660.484678
2021-10-17 10:00:00,195550.0,199400.0,195000.0,195100.0,64949.81217219,12775286048.60624
2021-10-17 11:00:00,195100.0,196450.0,194850.0,196200.0,16692.83848181,3264029862.1903434
2021-10-17 12:00:00,196050.0,202100.0,195450.0,202100.0,39028.47840337,7761759238.519963
2021-10-17 13:00:00,201800.0,205550.0,199500.0,200750.0,226841.22818658,45854852955.167534
2021-10-17 14:00:00,200750.0,201100.0,197050.0,197350.0,60315.61060364,11997602627.045538
2021-10-17 15:00:00,197400.0,201250.0,197200.0,200600.0,34493.17846042,6874836702.715089
2021-10-17 16:00:00,200600.0,202800.0,198700.0,199050.0,82113.59496541,16520878123.292318
2021-10-17 17:00:00,199100.0,208050.0,199000.0,204200.0,137342.613667,28111391825.589077
2021-10-17 18:00:00,204550.0,205000.0,202700.0,202900.0,41357.74922341,8422964550.41226
2021-10-17 19:00:00,202950.0,205000.0,201800.0,204000.0,29209.80038025,5942327410.270948
2021-10-17 20:00:00,204000.0,204350.0,200150.0,200900.0,56431.60278527,11355878761.782013
2021-10-17 21:00:00,200800.0,203450.0,200600.0,202000.0,29969.46367024,6062350354.527588
2021-10-17 22:00:00,201950.0,202500.0,200600.0,201650.0,24329.33833277,4901080794.662546
2021-10-17 23:00:00,201650.0,202900.0,201000.0,201350.0,18401.26425733,3712163910.3259826
2021-10-18 00:00:00,201650.0,201850.0,197150.0,198000.0,38561.03640153,7669155727.402552
2021-10-18 01:00:00,197950.0,198650.0,196500.0,198000.0,16043.17580605,3170431114.065517
2021-10-18 02:00:00,198000.0,198200.0,196300.0,197050.0,8288.73367934,1634206061.9292874
2021-10-18 03:00:00,197450.0,197950.0,196900.0,197100.0,2819.9224407,556523967.434388
2021-10-18 04:00:00,197350.0,197350.0,195500.0,195900.0,8176.66997016,1604775629.489403
2021-10-18 05:00:00,196200.0,196500.0,193150.0,193700.0,26437.7325038,5148282510.438524
2021-10-18 06:00:00,194150.0,196700.0,193350.0,196550.0,14720.89990684,2867737880.1736894
2021-10-18 07:00:00,196300.0,198250.0,195950.0,197900.0,13400.01296254,2640273539.4100304
2021-10-18 08:00:00,197900.0,198200.0,196450.0,197400.0,15735.73391709,3103404769.7863016
2021-10-18 09:00:00,197400.0,200900.0,195700.0,198400.0,42728.79050697,8472414000.035417
2021-10-18 10:00:00,198600.0,201000.0,197600.0,199700.0,17876.13763438,3562875934.876461
2021-10-18 11:00:00,199700.0,200350.0,198100.0,198600.0,19258.93328015,3832654226.739689
2021-10-18 12:00:00,198600.0,199050.0,195700.0,197250.0,30668.49722729,6056038490.039218
2021-10-18 13:00:00,197350.0,198700.0,196050.0,197900.0,15970.63255071,3148120651.367898
2021-10-18 14:00:00,197900.0,198400.0,197200.0,198150.0,11565.17743807,2285177385.169384
2021-10-18 15:00:00,197800.0,198200.0,197000.0,197450.0,10615.13286718,2098515030.812264
2021-10-18 16:00:00,197450.0,199000.0,196000.0,196250.0,18613.07181196,3674024985.177508
2021-10-18 17:00:00,196250.0,197100.0,195400.0,195750.0,16925.53712374,3318619471.128097
2021-10-18 18:00:00,195700.0,195750.0,192200.0,193650.0,45803.25817612,8870378819.44713
2021-10-18 19:00:00,193650.0,195700.0,191750.0,195100.0,24751.25898575,4795314026.976407
2021-10-18 20:00:00,195200.0,195350.0,192550.0,193300.0,16578.94243684,3219073205.2750664
2021-10-18 21:00:00,193450.0,195000.0,193250.0,193600.0,13168.91196172,2556004393.12296
2021-10-18 22:00:00,193600.0,196800.0,192500.0,196700.0,25960.83494878,5052961381.726903
2021-10-18 23:00:00,196700.0,196850.0,193300.0,193750.0,15284.30879903,2978310859.9067993
2021-10-19 00:00:00,193650.0,194000.0,192700.0,193200.0,9349.78153271,1808071610.240479
2021-10-19 01:00:00,193100.0,193650.0,192750.0,192800.0,5705.43360557,1101160901.7023566
2021-10-19 02:00:00,192800.0,194500.0,192250.0,192250.0,5661.38249715,1094799432.098414
2021-10-19 03:00:00,192250.0,194950.0,191800.0,194350.0,5094.34213313,981857272.9989755
2021-10-19 04:00:00,194350.0,194700.0,192250.0,193600.0,2202.513512,425663228.9128185
2021-10-19 05:00:00,194000.0,194850.0,193250.0,194350.0,2600.02981934,504628251.766187
2021-10-19 06:00:00,194700.0,194950.0,193550.0,193550.0,4107.64891673,797437875.8054905
2021-10-19 07:00:00,193550.0,194250.0,192700.0,193600.0,8370.65491375,1617100781.2751045
2021-10-19 08:00:00,193550.0,195150.0,193300.0,194300.0,6304.48388452,1223904449.0008285
2021-10-19 09:00:00,194300.0,194500.0,192650.0,192700.0,11689.21447901,2260683955.560062
2021-10-19 10:00:00,192700.0,193600.0,192200.0,193400.0,7608.87899586,1467616023.8506384
2021-10-19 11:00:00,193150.0,194100.0,192900.0,193500.0,4637.9229864,896955565.686564
2021-10-19 12:00:00,193250.0,194550.0,192950.0,194500.0,6103.5915015,1183267887.804176
2021-10-19 13:00:00,194500.0,195300.0,193950.0,193950.0,7523.53850706,1464218030.9936266
2021-10-19 14:00:00,194000.0,195200.0,193500.0,194300.0,6453.67227758,1254805243.5578566
2021-10-19 15:00:00,194850.0,194850.0,192600.0,192700.0,6985.18089062,1350768559.9952965
2021-10-19 16:00:00,192700.0,193800.0,192600.0,193400.0,4096.06766222,790866324.9222986
2021-10-19 17:00:00,193400.0,193750.0,192250.0,193400.0,8692.2254649,1675200627.7781115
2021-10-19 18:00:00,193500.0,193500.0,192200.0,192850.0,6210.89539846,1196834063.7759635
2021-10-19 19:00:00,192900.0,194100.0,192550.0,192600.0,7942.16690174,1533613012.753644
2021-10-19 20:00:00,192700.0,193150.0,192450.0,192800.0,5012.41889627,965900469.3904746
2021-10-19 21:00:00,192800.0,193450.0,192350.0,192600.0,5432.30411394,1047015919.380869
2021-10-19 22:00:00,192600.0,193250.0,192350.0,192500.0,7505.74131402,1447022987.7951264
2021-10-19 23:00:00,192550.0,192600.0,190900.0,191250.0,12818.07248768,2457462688.6021996
2021-10-20 00:00:00,191150.0,192350.0,191000.0,191500.0,5644.06495102,1082239438.786196
2021-10-20 01:00:00,191500.0,191800.0,190700.0,190950.0,4577.3341796,874670432.522002
2021-10-20 02:00:00,191000.0,192000.0,190700.0,191450.0,2433.29048399,465047048.8589005
2021-10-20 03:00:00,191450.0,191650.0,190500.0,190750.0,1729.05949198,330066915.6348825
2021-10-20 04:00:00,190950.0,191450.0,189650.0,190000.0,5600.60585736,1064959038.00578
2021-10-20 05:00:00,190050.0,190600.0,188550.0,189200.0,5981.56865648,1131836803.6197655
2021-10-20 06:00:00,189250.0,190600.0,189050.0,189850.0,5384.77945444,1022119312.441552
2021-10-20 07:00:00,189850.0,192650.0,189700.0,192300.0,7382.97215732,1414843122.4270005
