,price0,price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12,price13,price14,price15,price16,price17,price18,price19,price20,price21,price22,price23,original_price0,original_price9
16,5182290.131910387,5274657.212606599,5467932.36653106,5465657.138103076,5346211.3908886835,5028655.068231354,5503798.606229934,5376521.892582377,5508971.2655066205,5530615.168139328,5413405.2290254,5244163.203693616,4766976.246233054,5176238.161191957,5192010.158783416,5223663.197440342,5099273.075123168,5030229.827622131,5439112.157746357,5350045.71044407,5306771.419137305,5567318.92434397,5122719.84842081,5176721.40794433,5529000.0,5569000.0
17,5565642.756969412,5728228.5959909,6053747.334792929,5462925.6752654435,5343539.621078145,5026141.997232737,5501048.082188839,5373834.97509483,6135508.936876098,6302259.625967351,6162429.851909418,6103815.476556459,5693414.364237545,6218947.03762666,6220580.945866447,5940003.879475489,5763691.071140275,5632990.125932025,6061733.915082776,5963553.920835961,5828837.1672674455,6149442.305115746,5513786.934928162,5647252.639868725,5938000.0,6346000.0
18,6170196.407734867,6157231.529441884,6359857.660445624,5900212.183353204,5606236.8318164805,5245419.760837499,5733336.312159926,5658099.878267193,6363521.06411499,6382701.32620425,6150598.181145601,6043924.156686335,5450973.783571373,6026603.157162152,5937512.978648495,5878981.241452444,5741012.630327713,5584230.720563276,5980682.036927546,5833577.75943747,5832425.248010607,6103129.641026607,5601841.775598692,5746450.4555542795,6583000.0,6427000.0
19,6097786.345699116,6176130.337082896,6403867.13218483,5857610.559627129,5637551.731109792,5334937.649350304,5784955.918820167,5731798.186497065,6486449.341409001,6564439.982295019,6147524.418936133,6040903.704833917,5448249.658742001,6023591.361481411,5934545.705795597,5876043.219842522,5738143.558548439,5581440.000562995,5980682.036927546,5833577.75943747,5658263.8453283375,6103129.641026607,5412665.014886951,5533874.364752405,6509000.0,6610000.0
20,6097786.345699116,5910480.192417386,6128920.402464796,5857610.559627129,5444329.234028609,5123773.162998918,5543664.51745296,5530747.885604756,6372229.640339903,6355687.314982101,5998332.622816701,5805237.540645068,5256393.614151118,5808400.550265845,5727289.508002934,5679320.283261403,5513179.574980837,5412760.568050578,5980682.036927546,5830662.4282233585,5655436.1272647055,6100079.601225994,5409960.034869516,5531108.810347232,6304000.0,6403000.0
21,6094738.97621101,5907526.429202785,6125857.473727931,5854683.21801812,5441608.429813702,5121212.556720558,5540894.070417751,5527983.8936579265,6369045.117781012,6352511.059452375,5995334.955339031,5805237.540645068,5256393.614151118,5805497.801365162,5724427.294355756,5679320.283261403,5510424.362799438,5410055.540280438,5977693.19033238,5836109.948399213,5568463.517390978,5979180.683247219,5301902.629166082,5442002.963866885,6381000.0,6495000.0
22,6033457.2879625065,5879709.368735894,6218120.152968264,5820837.508142147,5388755.713411585,5122809.940549853,5598213.664249659,5549621.532195808,6245321.251342392,6269173.841040176,5839872.268201049,5805237.540645068,5256393.614151118,5759061.985487565,5595835.857331819,5679320.283261403,5287362.384593316,5001357.92778428,5710608.463017935,5602695.511824212,5568463.517390978,5979180.683247219,5301902.629166082,5442002.963866885,6320000.0,6413000.0
23,6033457.2879625065,5879709.368735894,5905701.42180814,5820837.508142147,5388755.713411585,4941431.000192951,5456527.444605432,5430926.967737948,6242200.151266758,6269173.841040176,5839872.268201049,5802336.372458838,5253766.730785726,5756183.893540795,5593039.337662987,5676482.042240283,5284720.024581026,4998858.498535012,5707754.585725072,5599895.564042191,5565680.677052451,5976192.5869537415,5299253.002664749,5439283.322205782,5969000.0,6405000.0
24,6030442.066929042,5876770.983244271,5902750.046784748,5817928.5438702125,5386062.6820705505,4938961.519433235,5453800.544333266,5428212.861307294,6381109.989678078,6266040.820629861,5836953.791305397,5937106.149465286,5317045.3227254255,5758842.638988159,5642573.713400525,5672764.302877632,5265653.293721196,4967728.856251275,5696069.592784482,5537404.797477798,5532313.792407007,5919978.824588934,5330687.847201318,5573733.692185211,6522000.0,6536000.0
25,6169136.686683619,6144476.385951711,6121001.46766157,6064057.95498428,5680090.917816337,5251785.249512917,5820940.211812813,5654109.512440613,6710413.732485335,6641849.878415495,6158106.682161264,6255488.441453675,5685211.675829133,6181583.1651188675,6007563.850413958,5669929.338208528,5263021.782829781,4965246.233134708,5693222.981293836,5534637.478738429,5529549.0178980585,5917020.314431719,5863425.738821065,5958363.864531428,6672000.0,6928000.0
